station_a,station_b,distance_km
Tullnerfeld-Nord,Tullnerfeld-Ost,0.9932983850315159
Tulln_Stadt,Tullnerfeld-Nord,3.9186327141885093
Tullnerfeld,Tullnerfeld-Nord,1.9996514986011582
Tullnerfeld,Tullnerfeld-Ost,2.686934765730226
Sbl Hdd 3 [BSTS_ID=4758984],Tullnerfeld-Ost,5.952725456956323
Hst außer Betrieb (Lon_H1) [BSTS_ID=4747830],Reichraming,1.9076652080701437
Hst außer Betrieb (Lon_H1) [BSTS_ID=4747830],Losenstein,3.022923274113698
Hst außer Betrieb (Rei_H1) [BSTS_ID=1835],Reichraming,2.814446297259271
Abzww_Wien_Brigittenau_Nord,Wien_Heiligenstadt,0.8791441096820183
Abzww_Wien_Brigittenau_Nord,Wien_Brigittenau,0.5154068208772582
Abzww_Wien_Brigittenau_Nord,Nudorf,0.7015105935286391
Wien_Franz-Josefs-Bf-Gurtelbrucke,Wien_Heiligenstadt,1.1523945298062659
Nudorf,Wien_Heiligenstadt,1.221216431153286
Sbl Ht 1 [BSTS_ID=905],Wien_Heiligenstadt,1.0881368544456413
Abzww_Wettmannstatten_Nord,Preding-Wieselsdorf,1.5733994236468796
Alling-Tobisegg,Preding-Wieselsdorf,2.823862290837546
Abzww_Wettmannstatten_Nord,Abzww_Wettmannstatten_Ost,0.5450164978135567
Abzww_Wettmannstatten_Nord,Wettmannstatten,0.9313994511889233
EU_Staatsgrenze_nachst_Lustenau,Lustenau,0.747270650417257
Lustenau,Staatsgrenze_nachst_Lustenau,0.747270650417257
Hard-Fuach,Lustenau,3.7203810646889717
Hard-Fussach,Lustenau,3.7203810646889717
Salzburg_Hbf-Glanbachbrucke,Salzburg_Taxham_Europark,1.1025645007350184
Salzburg_Liefering,Salzburg_Taxham_Europark,1.1521965193766637
Salzburg_Aiglhof,Salzburg_Hbf-Glanbachbrucke,0.4671610244977625
Abzw_Pb_1,St.Polten-Fbf,2.244794719026126
St.Polten-Fbf,St.Polten_Hbf,0.6707017559998774
Abzw_Pb_1,Sbl Pb 2 [BSTS_ID=1352213],1.9411512464303489
Abzw_Pb_1,Sbl Pb 12 [BSTS_ID=1671],1.8976203271907681
Wolfsberg,Wolfsberg_Reding,1.9161703341269563
Frantschach-St.Gertraud,Wolfsberg,3.384319779812542
Sbl Wog 1 [BSTS_ID=5352515],Wolfsberg_Reding,0.08806061753675594
Wien_Hutteldorf,Wien_Wolf_in_der_Au,1.9925151545612056
Wien_Hutteldorf,Wien_Hutteldorf_Guterzuggruppe,0.6442509202290582
Sbl Hf 1 [BSTS_ID=809],Wien_Hutteldorf,1.7384895541224106
Sbl Hf 21 [BSTS_ID=1501483],Wien_Wolf_in_der_Au,0.11562544595677057
Hst außer Betrieb (Hu_H3) [BSTS_ID=913],Neulengbach_Stadt,1.0204650858133482
Hst außer Betrieb (Hu_H3) [BSTS_ID=913],Sbl Hu 2 [BSTS_ID=918],0.1378605895454013
Neulengbach,Neulengbach_Stadt,1.1379416938965354
Abzww_Traun_Nord,Abzww_Traun_West,0.3970363063153308
Abzww_Traun_Sud,Abzww_Traun_West,0.46466053272295144
Abzww_Traun_West,Sbl Rut 1 [BSTS_ID=1369871],1.9415349997066529
Abzww_Traun_Nord,Abzww_Traun_Sud,0.536533393836116
Purgg,Tauplitz,4.805299580398738
Breitensee_N.O.,Marchegg,3.0003777273390115
Breitensee_N.O.,Sbl Sfl 1 [BSTS_ID=5927977],1.5509831637392824
Marchegg,Oberweiden,8.927815398239387
EU_Staatsgrenze_nachst_Marchegg,Marchegg,2.2579584696334254
Devinska_Nova_Ves_st._hr.,Marchegg,2.2579584696334254
